# omega,Re f_xc_QV(omega), Im f_xc_QV(omega)
5.757576181818182093e+00,-3.374471509587966711e+00,-3.321524967008784301e-01
5.858586272727272615e+00,-3.376647045454348905e+00,-3.241271452395932950e-01
5.959596363636364025e+00,-3.378784597947748658e+00,-3.164114189075969419e-01
6.060606454545454547e+00,-3.380885584259426757e+00,-3.089893264584953614e-01
6.161616545454545957e+00,-3.382949199900393111e+00,-3.018458879691460761e-01
6.262626636363636479e+00,-3.384974891654673801e+00,-2.949670609276595634e-01
6.363636727272727889e+00,-3.386963686206838187e+00,-2.883396722773712839e-01
6.464646818181818411e+00,-3.388912961465096796e+00,-2.819513559138277503e-01
6.565656909090908933e+00,-3.390828064126659491e+00,-2.757904951727916942e-01
6.666667000000000343e+00,-3.392705517871845267e+00,-2.698461698857509972e-01
6.767677090909090865e+00,-3.394544486060555144e+00,-2.641081076152731466e-01
6.868687181818182275e+00,-3.396348136398255946e+00,-2.585666387157972146e-01
6.969697272727272797e+00,-3.398118891285712095e+00,-2.532126548961388668e-01
7.070707363636364207e+00,-3.399853425220435987e+00,-2.480375709882145507e-01
7.171717454545454729e+00,-3.401554887815966488e+00,-2.430332896523769159e-01
7.272727545454546139e+00,-3.403224959138138050e+00,-2.381921687734483706e-01
7.373737636363636661e+00,-3.404859741295664488e+00,-2.335069913231853922e-01
7.474747727272727182e+00,-3.406457766776337159e+00,-2.289709374846552736e-01
7.575757818181818593e+00,-3.408027325925417017e+00,-2.245775588519988430e-01
7.676767909090909114e+00,-3.409566880647480591e+00,-2.203207545354449459e-01
7.777778000000000524e+00,-3.411076741152926139e+00,-2.161947490163483587e-01
7.878788090909091046e+00,-3.412556204902676527e+00,-2.121940716105896463e-01
7.979798181818182456e+00,-3.414007939647883294e+00,-2.083135374110082760e-01
8.080808272727272978e+00,-3.415429729498312028e+00,-2.045482295907541936e-01
8.181818363636363500e+00,-3.416824072937917123e+00,-2.008934829596375482e-01
8.282828454545454022e+00,-3.418188494420132173e+00,-1.973448686748277281e-01
8.383838545454544544e+00,-3.419531399424070361e+00,-1.938981800156813762e-01
8.484848636363635066e+00,-3.420846468584765709e+00,-1.905494191401446435e-01
8.585858727272727364e+00,-3.422134120765371268e+00,-1.872947847471508609e-01
8.686868818181817886e+00,-3.423400397324743327e+00,-1.841306605757831727e-01
8.787878909090908408e+00,-3.424636069857621923e+00,-1.810536046777470875e-01
8.888888999999998930e+00,-3.425856145719654133e+00,-1.780603394049638522e-01
8.989899090909089452e+00,-3.427050526866779911e+00,-1.751477420588892775e-01
9.090909181818181750e+00,-3.428221396635812379e+00,-1.723128361525324281e-01
9.191919272727272272e+00,-3.429368686257167731e+00,-1.695527832401367563e-01
9.292929363636362794e+00,-3.430492002072166535e+00,-1.668648752731214380e-01
9.393939454545453316e+00,-3.431598274531983073e+00,-1.642465274442017342e-01
9.494949545454545614e+00,-3.432688498036917224e+00,-1.616952714846426609e-01
9.595959636363636136e+00,-3.433754395727894426e+00,-1.592087493823647337e-01
9.696969727272726658e+00,-3.434794920868536217e+00,-1.567847074911646876e-01
9.797979818181817180e+00,-3.435823696339536326e+00,-1.544209910036239974e-01
9.898989909090907702e+00,-3.436832373658865070e+00,-1.521155387624077981e-01
1.000000000000000000e+01,-3.437822157309431859e+00,-1.498663783865952781e-01
