# rs (bohr), Gamma muxc > 0, Gamma muxc = 0
1.981236247249450022e+00,1.357072904820281645e+00,1.242424337689804315e+00
1.993218643728745798e+00,1.354659667099304077e+00,1.240497977247939865e+00
2.005201040208041796e+00,1.352263641286651330e+00,1.238583152446761648e+00
2.017183436687337572e+00,1.349884461171508843e+00,1.236679725957213982e+00
2.029165833166633348e+00,1.347521943648467557e+00,1.234787606226592560e+00
2.041148229645929124e+00,1.345175997164824944e+00,1.232906701702193963e+00
2.053130626125224900e+00,1.342846438615173277e+00,1.231036829278609801e+00
2.065113022604521120e+00,1.340532993341400081e+00,1.229177897403137099e+00
2.077095419083816896e+00,1.338235478238098075e+00,1.227329722970367465e+00
2.089077815563112672e+00,1.335953710199859534e+00,1.225492260203948858e+00
2.101060212042408448e+00,1.333687506121276733e+00,1.223665417551177859e+00
2.113042608521704668e+00,1.331436774449645810e+00,1.221849011906646298e+00
2.125025005001000444e+00,1.329201286303207219e+00,1.220042951717651203e+00
2.137007401480296220e+00,1.326980812800201415e+00,1.218247145431487821e+00
2.148989797959591996e+00,1.324775308164275911e+00,1.216461501495452735e+00
2.160972194438887772e+00,1.322584451960967522e+00,1.214685882580489817e+00
2.172954590918183548e+00,1.320408152637573274e+00,1.212920151357543830e+00
2.184936987397479768e+00,1.318246227088683664e+00,1.211164307826614106e+00
2.196919383876775544e+00,1.316098583761596164e+00,1.209418168882293587e+00
2.208901780356071320e+00,1.313964993774551004e+00,1.207681597195525702e+00
2.220884176835367096e+00,1.311845319798492282e+00,1.205954638542663382e+00
2.232866573314662872e+00,1.309739378728012049e+00,1.204237018265594150e+00
2.244848969793959093e+00,1.307647079010406221e+00,1.202528782140670716e+00
2.256831366273254869e+00,1.305568191763915920e+00,1.200829792838836285e+00
2.268813762752550645e+00,1.303502671212188657e+00,1.199139913031036064e+00
2.280796159231846421e+00,1.301450288473464667e+00,1.197459142717269831e+00
2.292778555711142197e+00,1.299410906218688488e+00,1.195787298792128972e+00
2.304760952190437973e+00,1.297384432895156703e+00,1.194124335479262999e+00
2.316743348669734193e+00,1.295370685397460475e+00,1.192470207002318983e+00
2.328725745149029969e+00,1.293369572172897275e+00,1.190824730255889641e+00
2.340708141628325745e+00,1.291380910116058045e+00,1.189187859463622932e+00
2.352690538107621521e+00,1.289404561897887991e+00,1.187559594625518633e+00
2.364672934586917297e+00,1.287440390189331207e+00,1.185939706859817200e+00
2.376655331066213517e+00,1.285488349214034987e+00,1.184328241942870896e+00
2.388637727545509293e+00,1.283548210090240227e+00,1.182725062545623596e+00
2.400620124024805069e+00,1.281619927041595330e+00,1.181130077115371879e+00
2.412602520504100845e+00,1.279703316962692128e+00,1.179543239875762817e+00
2.424584916983396621e+00,1.277798242524474936e+00,1.177964413497741614e+00
2.436567313462692841e+00,1.275904657950591714e+00,1.176393643757659868e+00
2.448549709941988617e+00,1.274022425911987000e+00,1.174830747550109855e+00
2.460532106421284393e+00,1.272151363303253069e+00,1.173275679098739754e+00
2.472514502900580169e+00,1.270291378571685614e+00,1.171728392627197302e+00
2.484496899379875945e+00,1.268442425940933038e+00,1.170188750806426592e+00
2.496479295859172165e+00,1.266604322305588060e+00,1.168656753636428292e+00
2.508461692338467941e+00,1.264776976112945706e+00,1.167132309564498538e+00
2.520444088817763717e+00,1.262960250033950516e+00,1.165615372814284623e+00
2.532426485297059493e+00,1.261154098292251113e+00,1.164105806056731973e+00
2.544408881776355269e+00,1.259358337782439774e+00,1.162603609291839257e+00
2.556391278255651045e+00,1.257572922728164233e+00,1.161108645190551236e+00
2.568373674734947265e+00,1.255797761576721072e+00,1.159620959529219952e+00
2.580356071214243041e+00,1.254032671222701900e+00,1.158140369202438347e+00
2.592338467693538817e+00,1.252277605889755119e+00,1.156666897098381108e+00
2.604320864172834593e+00,1.250532474025176866e+00,1.155200428776168575e+00
2.616303260652130369e+00,1.248797138299911236e+00,1.153740941347625393e+00
2.628285657131426589e+00,1.247071552937606853e+00,1.152288320371871677e+00
2.640268053610722365e+00,1.245355580609206925e+00,1.150842565848906984e+00
2.652250450090018141e+00,1.243649129762008698e+00,1.149403586226028118e+00
2.664232846569313917e+00,1.241952154619659021e+00,1.147971335726882813e+00
2.676215243048609693e+00,1.240264472076751501e+00,1.146545722798766764e+00
2.688197639527905469e+00,1.238586082133285249e+00,1.145126724553505060e+00
2.700180036007201689e+00,1.236916847460205027e+00,1.143714272326568748e+00
2.712162432486497465e+00,1.235256676504806528e+00,1.142308320341606231e+00
2.724144828965793241e+00,1.233605477714385890e+00,1.140908799934089446e+00
2.736127225445089017e+00,1.231963205312591514e+00,1.139515665327667238e+00
2.748109621924384793e+00,1.230329767746718872e+00,1.138128824969634634e+00
2.760092018403681013e+00,1.228705027687713836e+00,1.136748301748168544e+00
2.772074414882976789e+00,1.227088939359222364e+00,1.135374004110565105e+00
2.784056811362272565e+00,1.225481456984893525e+00,1.134005840504119567e+00
2.796039207841568341e+00,1.223882397459320037e+00,1.132643810928832817e+00
2.808021604320864117e+00,1.222291806558852834e+00,1.131287846720176571e+00
2.820004000800160338e+00,1.220709501178085077e+00,1.129937902101798786e+00
2.831986397279456114e+00,1.219135435540664503e+00,1.128593931297348085e+00
2.843968793758751890e+00,1.217569563870239069e+00,1.127255865642295518e+00
2.855951190238047666e+00,1.216011794614104913e+00,1.125923682248466173e+00
2.867933586717343442e+00,1.214462036219558616e+00,1.124597312451331987e+00
2.879915983196639662e+00,1.212920242910247692e+00,1.123276733362716495e+00
2.891898379675935438e+00,1.211386277357116459e+00,1.121961853429916278e+00
2.903880776155231214e+00,1.209860162448340937e+00,1.120652695541106914e+00
2.915863172634526990e+00,1.208341760854865443e+00,1.119349145255409184e+00
2.927845569113822766e+00,1.206831026800338602e+00,1.118051179684646179e+00
2.939827965593118542e+00,1.205327868732055219e+00,1.116758775940642989e+00
2.951810362072414762e+00,1.203832240873664583e+00,1.115471888247047350e+00
2.963792758551710538e+00,1.202344074560637965e+00,1.114190447939331197e+00
2.975775155031006314e+00,1.200863255352096370e+00,1.112914432129318065e+00
2.987757551510302090e+00,1.199389806136215153e+00,1.111643772152481002e+00
2.999739947989597866e+00,1.197923589583938409e+00,1.110378445120643320e+00
3.011722344468894086e+00,1.196464559918914539e+00,1.109118428145629665e+00
3.023704740948189862e+00,1.195012671364791501e+00,1.107863629674736172e+00
3.035687137427485638e+00,1.193567832368865433e+00,1.106614049707961733e+00
3.047669533906781414e+00,1.192130020042960981e+00,1.105369665357131659e+00
3.059651930386077190e+00,1.190699119946197149e+00,1.104130385069541642e+00
3.071634326865372966e+00,1.189275132078575048e+00,1.102896185957015884e+00
3.083616723344669186e+00,1.187857941999213685e+00,1.101667045131378364e+00
3.095599119823964962e+00,1.186447503931762792e+00,1.100442916816276595e+00
3.107581516303260738e+00,1.185043772099868775e+00,1.099223778123534778e+00
3.119563912782556514e+00,1.183646723615356056e+00,1.098009560388625960e+00
3.131546309261852290e+00,1.182256221149169839e+00,1.096800240723373676e+00
3.143528705741148510e+00,1.180872264701309238e+00,1.095595773351425439e+00
3.155511102220444286e+00,1.179494762719070167e+00,1.094396135384605007e+00
3.167493498699740062e+00,1.178123692314277493e+00,1.093201303934737911e+00
3.179475895179035838e+00,1.176758984822402709e+00,1.092011210337295424e+00
3.191458291658331614e+00,1.175400594467094217e+00,1.090825831704101523e+00
3.203440688137627834e+00,1.174048452583824176e+00,1.089645145146980187e+00
3.215423084616923610e+00,1.172702513396239876e+00,1.088469082001403798e+00
3.227405481096219386e+00,1.171362731127990831e+00,1.087297665155547710e+00
3.239387877575515162e+00,1.170029060002723220e+00,1.086130825944884748e+00
3.251370274054810938e+00,1.168701431355910980e+00,1.084968518593063092e+00
3.263352670534107158e+00,1.167379822299376979e+00,1.083810743100082075e+00
3.275335067013402934e+00,1.166064141280418021e+00,1.082657430801414300e+00
3.287317463492698710e+00,1.164754365410857639e+00,1.081508581697059324e+00
3.299299859971994486e+00,1.163450448914344459e+00,1.080364127122489526e+00
3.311282256451290262e+00,1.162152323126349751e+00,1.079224089965881372e+00
3.323264652930586038e+00,1.160859965158698826e+00,1.078088378674529890e+00
3.335247049409882258e+00,1.159573306346862509e+00,1.076957016136611323e+00
3.347229445889178034e+00,1.158292346690841690e+00,1.075829910799423139e+00
3.359211842368473810e+00,1.157016971749755818e+00,1.074707108439315384e+00
3.371194238847769586e+00,1.155747181523605338e+00,1.073588494615409727e+00
3.383176635327065362e+00,1.154482907347861964e+00,1.072474115104057102e+00
3.395159031806361583e+00,1.153224126334350341e+00,1.071363901240730110e+00
3.407141428285657359e+00,1.151970792706718205e+00,1.070257807249076931e+00
3.419123824764953135e+00,1.150722860688613736e+00,1.069155856017272921e+00
3.431106221244248911e+00,1.149480261615509091e+00,1.068057978880790904e+00
3.443088617723544687e+00,1.148242972599227585e+00,1.066964152951454192e+00
3.455071014202840463e+00,1.147010970751594305e+00,1.065874355341087210e+00
3.467053410682136683e+00,1.145784187408080967e+00,1.064788563161513935e+00
3.479035807161432459e+00,1.144562599680511328e+00,1.063706753524559012e+00
3.491018203640728235e+00,1.143346161792534010e+00,1.062628880653869512e+00
3.503000600120024011e+00,1.142134805079620508e+00,1.061554921661269635e+00
3.514982996599319787e+00,1.140928529541771042e+00,1.060484853658584026e+00
3.526965393078616007e+00,1.139727289402633570e+00,1.059418653757637108e+00
3.538947789557911783e+00,1.138531038885856495e+00,1.058356299070251083e+00
3.550930186037207559e+00,1.137339732215087995e+00,1.057297766708251707e+00
3.562912582516503335e+00,1.136153323613975807e+00,1.056243010895286272e+00
3.574894978995799111e+00,1.134971813082519709e+00,1.055192008743179422e+00
3.586877375475095331e+00,1.133795131956191860e+00,1.054144760251930268e+00
3.598859771954391107e+00,1.132623234458640660e+00,1.053101219645187214e+00
3.610842168433686883e+00,1.131456120589866554e+00,1.052061364034774904e+00
3.622824564912982659e+00,1.130293744573516834e+00,1.051025170532516650e+00
3.634806961392278435e+00,1.129136037745063659e+00,1.049992616250236432e+00
3.646789357871574655e+00,1.127983000104507028e+00,1.048963666855670773e+00
3.658771754350870431e+00,1.126834585875495565e+00,1.047938310904731551e+00
3.670754150830166207e+00,1.125690749281677228e+00,1.046916536953331089e+00
3.682736547309461983e+00,1.124551467434875551e+00,1.045898287781028557e+00
3.694718943788757759e+00,1.123416717446914515e+00,1.044883574831912743e+00
3.706701340268053535e+00,1.122286453541442519e+00,1.043872363773719503e+00
3.718683736747349755e+00,1.121160629942107745e+00,1.042864620274184695e+00
3.730666133226645531e+00,1.120039223760734393e+00,1.041860310001044843e+00
3.742648529705941307e+00,1.118922234997321796e+00,1.040859455842475745e+00
3.754630926185237083e+00,1.117809572099166537e+00,1.039862000578037016e+00
3.766613322664532859e+00,1.116701257954444415e+00,1.038867932763640978e+00
3.778595719143829079e+00,1.115597223898628032e+00,1.037877229511112276e+00
3.790578115623124855e+00,1.114497447043540923e+00,1.036889867932273557e+00
3.802560512102420631e+00,1.113401904501007067e+00,1.035905836583037809e+00
3.814542908581716407e+00,1.112310573382850443e+00,1.034925101131141556e+00
3.826525305061012183e+00,1.111223385024543431e+00,1.033947638688407666e+00
3.838507701540307959e+00,1.110140362314262275e+00,1.032973437810748685e+00
3.850490098019604179e+00,1.109061448031566144e+00,1.032002487054076934e+00
3.862472494498899955e+00,1.107986607844192228e+00,1.031034740642040148e+00
3.874454890978195731e+00,1.106915830308051740e+00,1.030070198574638107e+00
3.886437287457491507e+00,1.105849081090881203e+00,1.029108826519607334e+00
3.898419683936787283e+00,1.104786314416328130e+00,1.028150624476947606e+00
3.910402080416083503e+00,1.103727507396217167e+00,1.027195558114395002e+00
3.922384476895379279e+00,1.102672660030547869e+00,1.026243604543773280e+00
3.934366873374675055e+00,1.101621715098880738e+00,1.025294763765083328e+00
3.946349269853970831e+00,1.100574661157127654e+00,1.024348990001971771e+00
3.958331666333266607e+00,1.099531463873023807e+00,1.023406283254440385e+00
3.970314062812562828e+00,1.098492088914306386e+00,1.022466620634311152e+00
3.982296459291858604e+00,1.097456524836887048e+00,1.021529979253410270e+00
3.994278855771154380e+00,1.096424737308502317e+00,1.020596347667648285e+00
4.006261252250450156e+00,1.095396714885062961e+00,1.019665714432937520e+00
4.018243648729745487e+00,1.094372400346129925e+00,1.018738033772925933e+00
4.030226045209041708e+00,1.093351793691703877e+00,1.017813305687614411e+00
4.042208441688337928e+00,1.092334872033607240e+00,1.016891518732913724e+00
4.054190838167633260e+00,1.091321589595489305e+00,1.015972650020648516e+00
4.066173234646929480e+00,1.090311946377349850e+00,1.015056676662643209e+00
4.078155631126224812e+00,1.089305896602836610e+00,1.014143587214809461e+00
4.090138027605521032e+00,1.088303417383773564e+00,1.013233358788970806e+00
4.102120424084816364e+00,1.087304508720161156e+00,1.012325979941040011e+00
4.114102820564112584e+00,1.086309113391559222e+00,1.011421427782840610e+00
4.126085217043408804e+00,1.085317231397968207e+00,1.010519690870285370e+00
4.138067613522704136e+00,1.084328839851211423e+00,1.009620746315196715e+00
4.150050010002000356e+00,1.083343892974937273e+00,1.008724594117576423e+00
4.162032406481295688e+00,1.082362390769145755e+00,1.007831199945159684e+00
4.174014802960591908e+00,1.081384298901573171e+00,1.006940552353858820e+00
4.185997199439887240e+00,1.080409605928130956e+00,1.006052628455497588e+00
4.197979595919183460e+00,1.079438277516555411e+00,1.005167428250075989e+00
4.209961992398479680e+00,1.078470290778671181e+00,1.004284928849418668e+00
4.221944388877775012e+00,1.077505645714476934e+00,1.003405107365348714e+00
4.233926785357071232e+00,1.076544296547622181e+00,1.002527963797866573e+00
4.245909181836366564e+00,1.075586220389930237e+00,1.001653475258796222e+00
4.257891578315662784e+00,1.074631417241401321e+00,1.000781618859962308e+00
4.269873974794959004e+00,1.073679841325683615e+00,9.999123831572760412e-01
4.281856371274254336e+00,1.072731492642776452e+00,9.990457567066498568e-01
4.293838767753550556e+00,1.071786348304504255e+00,9.981817280639955214e-01
4.305821164232845888e+00,1.070844373978603326e+00,9.973202743411369031e-01
4.317803560712142108e+00,1.069905558220985320e+00,9.964613840939864353e-01
4.329785957191438328e+00,1.068969878143474439e+00,9.956050458784559964e-01
4.341768353670733660e+00,1.068037310857894884e+00,9.947512368063696764e-01
4.353750750150029880e+00,1.067107856364246210e+00,9.938999454336395756e-01
4.365733146629325212e+00,1.066181468886177042e+00,9.930511603161772394e-01
4.377715543108621432e+00,1.065258136979598813e+00,9.922048814539833339e-01
4.389697939587917652e+00,1.064337849200424291e+00,9.913610630707053728e-01
4.401680336067212984e+00,1.063420582660476121e+00,9.905197166104315887e-01
4.413662732546509204e+00,1.062506325915668182e+00,9.896808191849859604e-01
4.425645129025804536e+00,1.061595044633735219e+00,9.888443593502806994e-01
4.437627525505100756e+00,1.060686727370589999e+00,9.880103256622273511e-01
4.449609921984396976e+00,1.059781351238056057e+00,9.871786952326505604e-01
4.461592318463692308e+00,1.058878904792045494e+00,9.863494680615499943e-01
4.473574714942988528e+00,1.057979376588470410e+00,9.855226212607497427e-01
4.485557111422283860e+00,1.057082732295066219e+00,9.846981433861616839e-01
4.497539507901580080e+00,1.056188960467746352e+00,9.838760229936981405e-01
4.509521904380875412e+00,1.055298049662422022e+00,9.830562371951827583e-01
4.521504300860171632e+00,1.054409965546829087e+00,9.822387974347037698e-01
4.533486697339467852e+00,1.053524719565055667e+00,9.814236693799973654e-01
4.545469093818763184e+00,1.052642265940749944e+00,9.806108530310629900e-01
4.557451490298059404e+00,1.051762604673911916e+00,9.798003254997251776e-01
4.569433886777354736e+00,1.050885712876365563e+00,9.789920753418959176e-01
4.581416283256650956e+00,1.050011579104022985e+00,9.781860911134871994e-01
4.593398679735947177e+00,1.049140180468707939e+00,9.773823728144989120e-01
4.605381076215242508e+00,1.048271494082244404e+00,9.765808975567551453e-01
4.617363472694538729e+00,1.047405519944633268e+00,9.757816538961676667e-01
4.629345869173834060e+00,1.046542235167697843e+00,9.749846303886489096e-01
4.641328265653130281e+00,1.045681628307349786e+00,9.741898155901109746e-01
4.653310662132426501e+00,1.044823665031326065e+00,9.733971980564650739e-01
4.665293058611721833e+00,1.043968356783714135e+00,9.726067663436240851e-01
4.677275455091018053e+00,1.043115657788161954e+00,9.718184975634117651e-01
4.689257851570313385e+00,1.042265579488757865e+00,9.710324031599159023e-01
4.701240248049609605e+00,1.041418087553237726e+00,9.702484602449609197e-01
4.713222644528905825e+00,1.040573181981601536e+00,9.694666459303702410e-01
4.725205041008201157e+00,1.039730839885673719e+00,9.686869716602323210e-01
