# omega, re fxc dimensionless
4.901975197519751748e-01,5.918409842027412271e-01
5.001995099509950471e-01,5.866223339759223387e-01
5.102015001500149749e-01,5.814829723612335854e-01
5.202034903490349027e-01,5.764211945662168768e-01
5.302054805480548305e-01,5.714353429282931218e-01
5.402074707470746473e-01,5.665238053335339696e-01
5.502094609460945751e-01,5.616850136972489915e-01
5.602114511451145029e-01,5.569174425036689247e-01
5.702134413441344307e-01,5.522196074021310519e-01
5.802154315431542475e-01,5.475900638573001356e-01
5.902174217421741753e-01,5.430274058510735635e-01
6.002194119411941031e-01,5.385302646339338306e-01
6.102214021402140309e-01,5.340973075236126189e-01
6.202233923392338477e-01,5.297272368903221951e-01
6.302253825382537755e-01,5.254187884789225382e-01
6.402273727372737033e-01,5.211707311854109070e-01
6.502293629362936311e-01,5.169818654603385299e-01
6.602313531353135589e-01,5.128510224567054410e-01
6.702333433343333757e-01,5.087770630730469312e-01
6.802353335333533035e-01,5.047588770314698214e-01
6.902373237323732313e-01,5.007953819891823866e-01
7.002393139313931592e-01,4.968855226821404791e-01
7.102413041304129759e-01,4.930282700994773060e-01
7.202432943294329037e-01,4.892226206874638050e-01
7.302452845284528316e-01,4.854675955817923660e-01
7.402472747274727594e-01,4.817622398670328154e-01
7.502492649264925761e-01,4.781056218621660969e-01
7.602512551255125040e-01,4.744968324311460983e-01
7.702532453245324318e-01,4.709349843174887584e-01
7.802552355235523596e-01,4.674192115019324967e-01
7.902572257225721764e-01,4.639486685822540868e-01
8.002592159215921042e-01,4.605225301743701705e-01
8.102612061206120320e-01,4.571399903338853044e-01
8.202631963196319598e-01,4.538002619972911766e-01
8.302651865186518876e-01,4.505025764420527157e-01
8.402671767176717044e-01,4.472461827648490096e-01
8.502691669166916322e-01,4.440303473772724274e-01
8.602711571157115600e-01,4.408543535183182538e-01
8.702731473147314878e-01,4.377175007830201303e-01
8.802751375137513046e-01,4.346191046666255109e-01
8.902771277127712324e-01,4.315584961237179384e-01
9.002791179117911602e-01,4.285350210004474358e-01
9.102811081108110880e-01,4.255480401870209706e-01
9.202830983098309048e-01,4.225969283707063373e-01
9.302850885088508326e-01,4.196810742144982398e-01
9.402870787078707604e-01,4.167998798417411610e-01
9.502890689068906882e-01,4.139527604739479116e-01
9.602910591059106160e-01,4.111391440800963304e-01
9.702930493049304328e-01,4.083584710369881909e-01
9.802950395039503606e-01,4.056101938002678597e-01
9.902970297029702884e-01,4.028937765857193987e-01
1.000299019901990105e+00,4.002086950604712978e-01
1.010301010101010144e+00,3.975544360437571756e-01
1.020303000300029961e+00,3.949304972168921624e-01
1.030304990499049778e+00,3.923363868421383405e-01
1.040306980698069816e+00,3.897716234901494881e-01
1.050308970897089633e+00,3.872357357756900376e-01
1.060310961096109672e+00,3.847282621013443094e-01
1.070312951295129489e+00,3.822487504089353560e-01
1.080314941494149306e+00,3.797967579383880188e-01
1.090316931693169344e+00,3.773718509937811771e-01
1.100318921892189161e+00,3.749736047163420571e-01
1.110320912091208978e+00,3.726016028641448430e-01
1.120322902290229017e+00,3.702554375982879953e-01
1.130324892489248834e+00,3.679347092753310067e-01
1.140326882688268872e+00,3.656390262457781537e-01
1.150328872887288689e+00,3.633680046584099599e-01
1.160330863086308506e+00,3.611212682702635846e-01
1.170332853285328545e+00,3.588984482620779515e-01
1.180334843484348362e+00,3.566991830590215407e-01
1.190336833683368400e+00,3.545231181565274836e-01
1.200338823882388217e+00,3.523699059510726483e-01
1.210340814081408034e+00,3.502392055757347911e-01
1.220342804280428073e+00,3.481306827403756743e-01
1.230344794479447890e+00,3.460440095762996049e-01
1.240346784678467706e+00,3.439788644852425081e-01
1.250348774877487745e+00,3.419349319925539810e-01
1.260350765076507562e+00,3.399119026044378766e-01
1.270352755275527601e+00,3.379094726691211359e-01
1.280354745474547418e+00,3.359273442418292954e-01
1.290356735673567234e+00,3.339652249534448281e-01
1.300358725872587273e+00,3.320228278827370150e-01
1.310360716071607090e+00,3.300998714320476646e-01
1.320362706270627129e+00,3.281960792063275401e-01
1.330364696469646946e+00,3.263111798954190235e-01
1.340366686668666762e+00,3.244449071594835421e-01
1.350368676867686801e+00,3.225969995174798877e-01
1.360370667066706618e+00,3.207672002385963395e-01
1.370372657265726435e+00,3.189552572365490501e-01
1.380374647464746474e+00,3.171609229666593754e-01
1.390376637663766290e+00,3.153839543256244382e-01
1.400378627862786329e+00,3.136241125539017127e-01
1.410380618061806146e+00,3.118811631406276930e-01
1.420382608260825963e+00,3.101548757309964266e-01
1.430384598459846002e+00,3.084450240360222528e-01
1.440386588658865819e+00,3.067513857446189651e-01
1.450388578857885857e+00,3.050737424379244556e-01
1.460390569056905674e+00,3.034118795058065032e-01
1.470392559255925491e+00,3.017655860654848143e-01
1.480394549454945530e+00,3.001346548822075300e-01
1.490396539653965347e+00,2.985188822919233043e-01
1.500398529852985163e+00,2.969180681258898891e-01
1.510400520052005202e+00,2.953320156371647687e-01
1.520402510251025019e+00,2.937605314289224445e-01
1.530404500450045058e+00,2.922034253845466889e-01
1.540406490649064875e+00,2.906605105994473082e-01
1.550408480848084691e+00,2.891316033145520104e-01
1.560410471047104730e+00,2.876165228514258598e-01
1.570412461246124547e+00,2.861150915489734103e-01
1.580414451445144364e+00,2.846271347016776088e-01
1.590416441644164403e+00,2.831524804993334476e-01
1.600418431843184219e+00,2.816909599682345111e-01
1.610420422042204258e+00,2.802424069137716134e-01
1.620422412241224075e+00,2.788066578644055049e-01
1.630424402440243892e+00,2.773835520169737889e-01
1.640426392639263931e+00,2.759729311832986864e-01
1.650428382838283747e+00,2.745746397380555703e-01
1.660430373037303786e+00,2.731885245678722374e-01
1.670432363236323603e+00,2.718144350216227245e-01
1.680434353435343420e+00,2.704522228618847501e-01
1.690436343634363459e+00,2.691017422175278062e-01
1.700438333833383275e+00,2.677628495374042017e-01
1.710440324032403092e+00,2.664354035451098612e-01
1.720442314231423131e+00,2.651192651947900658e-01
1.730444304430442948e+00,2.638142976279601037e-01
1.740446294629462987e+00,2.625203661313139647e-01
1.750448284828482803e+00,2.612373380954963187e-01
1.760450275027502620e+00,2.599650829748110237e-01
1.770452265226522659e+00,2.587034722478425142e-01
1.780454255425542476e+00,2.574523793789664228e-01
1.790456245624562515e+00,2.562116797807247881e-01
1.800458235823582331e+00,2.549812507770456427e-01
1.810460226022602148e+00,2.537609715672828337e-01
1.820462216221622187e+00,2.525507231910572581e-01
1.830464206420642004e+00,2.513503884938769195e-01
1.840466196619661821e+00,2.501598520935174874e-01
1.850468186818681859e+00,2.489790003471424595e-01
1.860470177017701676e+00,2.478077213191459127e-01
1.870472167216721715e+00,2.466459047496974422e-01
1.880474157415741532e+00,2.454934420239741621e-01
1.890476147614761349e+00,2.443502261420596733e-01
1.900478137813781387e+00,2.432161516894955910e-01
1.910480128012801204e+00,2.420911148084678999e-01
1.920482118211821243e+00,2.409750131696132558e-01
1.930484108410841060e+00,2.398677459444293336e-01
1.940486098609860877e+00,2.387692137782742585e-01
1.950488088808880915e+00,2.376793187639410221e-01
1.960490079007900732e+00,2.365979644157923389e-01
1.970492069206920549e+00,2.355250556444425380e-01
1.980494059405940588e+00,2.344604987319729716e-01
1.990496049604960405e+00,2.334042013076681743e-01
2.000498039803980443e+00,2.323560723242594772e-01
2.010500030003000482e+00,2.313160220346651141e-01
2.020502020202020521e+00,2.302839619692134132e-01
2.030504010401040116e+00,2.292598049133389160e-01
2.040506000600060155e+00,2.282434648857380177e-01
2.050507990799080194e+00,2.272348571169765796e-01
2.060509980998099788e+00,2.262338980285345802e-01
2.070511971197119827e+00,2.252405052122812001e-01
2.080513961396139866e+00,2.242545974103675177e-01
2.090515951595159905e+00,2.232760944955287374e-01
2.100517941794179499e+00,2.223049174517852666e-01
2.110519931993199538e+00,2.213409883555338686e-01
2.120521922192219577e+00,2.203842303570192340e-01
2.130523912391239172e+00,2.194345676621783925e-01
2.140525902590259211e+00,2.184919255148472239e-01
2.150527892789279250e+00,2.175562301793233233e-01
2.160529882988298844e+00,2.166274089232743116e-01
2.170531873187318883e+00,2.157053900009859027e-01
2.180533863386338922e+00,2.147901026369405941e-01
2.190535853585358517e+00,2.138814770097202111e-01
2.200537843784378556e+00,2.129794442362241969e-01
2.210539833983398594e+00,2.120839363561971280e-01
2.220541824182418189e+00,2.111948863170585167e-01
2.230543814381438228e+00,2.103122279590271537e-01
2.240545804580458267e+00,2.094358960005347492e-01
2.250547794779478306e+00,2.085658260239213746e-01
2.260549784978497900e+00,2.077019544614066016e-01
2.270551775177517939e+00,2.068442185813305356e-01
2.280553765376537978e+00,2.059925564746585558e-01
2.290555755575557573e+00,2.051469070417437923e-01
2.300557745774577612e+00,2.043072099793419305e-01
2.310559735973597650e+00,2.034734057678724006e-01
2.320561726172617245e+00,2.026454356589214023e-01
2.330563716371637284e+00,2.018232416629798243e-01
2.340565706570657323e+00,2.010067665374134505e-01
2.350567696769676918e+00,2.001959537746572926e-01
2.360569686968696956e+00,1.993907475906323279e-01
2.370571677167716995e+00,1.985910929133774538e-01
2.380573667366737034e+00,1.977969353718931622e-01
2.390575657565756629e+00,1.970082212851924641e-01
2.400577647764776668e+00,1.962248976515537091e-01
2.410579637963796706e+00,1.954469121379722729e-01
2.420581628162816301e+00,1.946742130698056183e-01
2.430583618361836340e+00,1.939067494206086206e-01
2.440585608560856379e+00,1.931444708021545775e-01
2.450587598759875974e+00,1.923873274546381296e-01
2.460589588958896012e+00,1.916352702370560102e-01
2.470591579157916051e+00,1.908882506177627947e-01
2.480593569356935646e+00,1.901462206651968190e-01
2.490595559555955685e+00,1.894091330387730754e-01
2.500597549754975724e+00,1.886769409799403663e-01
2.510599539953995762e+00,1.879495983033983852e-01
2.520601530153015357e+00,1.872270593884716172e-01
2.530603520352035396e+00,1.865092791706371156e-01
2.540605510551055435e+00,1.857962131332029088e-01
2.550607500750075030e+00,1.850878172991336501e-01
2.560609490949095068e+00,1.843840482230209021e-01
2.570611481148115107e+00,1.836848629831947799e-01
2.580613471347134702e+00,1.829902191739743167e-01
2.590615461546154741e+00,1.823000748980533881e-01
2.600617451745174780e+00,1.816143887590202510e-01
2.610619441944194374e+00,1.809331198540066743e-01
2.620621432143214413e+00,1.802562277664655488e-01
2.630623422342234452e+00,1.795836725590730376e-01
2.640625412541254491e+00,1.789154147667541273e-01
2.650627402740274086e+00,1.782514153898277776e-01
2.660629392939294124e+00,1.775916358872697831e-01
2.670631383138314163e+00,1.769360381700923468e-01
2.680633373337333758e+00,1.762845845948352030e-01
2.690635363536353797e+00,1.756372379571688735e-01
2.700637353735373836e+00,1.749939614856063086e-01
2.710639343934393430e+00,1.743547188353212762e-01
2.720641334133413469e+00,1.737194740820711958e-01
2.730643324332433508e+00,1.730881917162225281e-01
2.740645314531453103e+00,1.724608366368769741e-01
2.750647304730473142e+00,1.718373741460956228e-01
2.760649294929493180e+00,1.712177699432205769e-01
2.770651285128513219e+00,1.706019901192905586e-01
2.780653275327532814e+00,1.699900011515500797e-01
2.790655265526552853e+00,1.693817698980495667e-01
2.800657255725572892e+00,1.687772635923347475e-01
2.810659245924592486e+00,1.681764498382242179e-01
2.820661236123612525e+00,1.675792966046724952e-01
2.830663226322632564e+00,1.669857722207179485e-01
2.840665216521652159e+00,1.663958453705131901e-01
2.850667206720672198e+00,1.658094850884370142e-01
2.860669196919692236e+00,1.652266607542857979e-01
2.870671187118711831e+00,1.646473420885431749e-01
2.880673177317731870e+00,1.640714991477265350e-01
2.890675167516751909e+00,1.634991023198085758e-01
2.900677157715771948e+00,1.629301223197134607e-01
2.910679147914791542e+00,1.623645301848841704e-01
2.920681138113811581e+00,1.618022972709222684e-01
2.930683128312831620e+00,1.612433952472971388e-01
2.940685118511851215e+00,1.606877960931232807e-01
2.950687108710871254e+00,1.601354720930057707e-01
2.960689098909891293e+00,1.595863958329508947e-01
2.970691089108910887e+00,1.590405401963422283e-01
2.980693079307930926e+00,1.584978783599801655e-01
2.990695069506950965e+00,1.579583837901836763e-01
3.000697059705970560e+00,1.574220302389542081e-01
3.010699049904990598e+00,1.568887917401986243e-01
3.020701040104010637e+00,1.563586426060123991e-01
3.030703030303030232e+00,1.558315574230202394e-01
3.040705020502050271e+00,1.553075110487737720e-01
3.050707010701070310e+00,1.547864786082057409e-01
3.060709000900090349e+00,1.542684354901384391e-01
3.070710991099109943e+00,1.537533573438468193e-01
3.080712981298129982e+00,1.532412200756740062e-01
3.090714971497150021e+00,1.527319998456996564e-01
3.100716961696169616e+00,1.522256730644587497e-01
3.110718951895189655e+00,1.517222163897110065e-01
3.120720942094209693e+00,1.512216067232599881e-01
3.130722932293229288e+00,1.507238212078198525e-01
3.140724922492249327e+00,1.502288372239305170e-01
3.150726912691269366e+00,1.497366323869193661e-01
3.160728902890288960e+00,1.492471845439089506e-01
3.170730893089308999e+00,1.487604717708698177e-01
3.180732883288329038e+00,1.482764723697176934e-01
3.190734873487349077e+00,1.477951648654546035e-01
3.200736863686368672e+00,1.473165280033524871e-01
3.210738853885388711e+00,1.468405407461790269e-01
3.220740844084408749e+00,1.463671822714651682e-01
3.230742834283428344e+00,1.458964319688128009e-01
3.240744824482448383e+00,1.454282694372429074e-01
3.250746814681468422e+00,1.449626744825827651e-01
3.260748804880488017e+00,1.444996271148917544e-01
3.270750795079508055e+00,1.440391075459251935e-01
3.280752785278528094e+00,1.435810961866355873e-01
3.290754775477547689e+00,1.431255736447104021e-01
3.300756765676567728e+00,1.426725207221458402e-01
3.310758755875587767e+00,1.422219184128563629e-01
3.320760746074607805e+00,1.417737479003188805e-01
3.330762736273627400e+00,1.413279905552509985e-01
3.340764726472647439e+00,1.408846279333234031e-01
3.350766716671667478e+00,1.404436417729049702e-01
3.360768706870687073e+00,1.400050139928408488e-01
3.370770697069707111e+00,1.395687266902619350e-01
3.380772687268727150e+00,1.391347621384265987e-01
3.390774677467746745e+00,1.387031027845928854e-01
3.400776667666766784e+00,1.382737312479211944e-01
3.410778657865786823e+00,1.378466303174072372e-01
3.420780648064806417e+00,1.374217829498440846e-01
3.430782638263826456e+00,1.369991722678134405e-01
3.440784628462846495e+00,1.365787815577051423e-01
3.450786618661866534e+00,1.361605942677650838e-01
3.460788608860886129e+00,1.357445940061703660e-01
3.470790599059906167e+00,1.353307645391316760e-01
3.480792589258926206e+00,1.349190897890224783e-01
3.490794579457945801e+00,1.345095538325342677e-01
3.500796569656965840e+00,1.341021408988576080e-01
3.510798559855985879e+00,1.336968353678889831e-01
3.520800550055005473e+00,1.332936217684619618e-01
3.530802540254025512e+00,1.328924847766037032e-01
3.540804530453045551e+00,1.324934092138149999e-01
3.550806520652065146e+00,1.320963800453744952e-01
3.560808510851085185e+00,1.317013823786664650e-01
3.570810501050105223e+00,1.313084014615310824e-01
3.580812491249125262e+00,1.309174226806380792e-01
3.590814481448144857e+00,1.305284315598821132e-01
3.600816471647164896e+00,1.301414137588004505e-01
3.610818461846184935e+00,1.297563550710122970e-01
3.620820452045204529e+00,1.293732414226793637e-01
3.630822442244224568e+00,1.289920588709868587e-01
3.640824432443244607e+00,1.286127936026462693e-01
3.650826422642264202e+00,1.282354319324172098e-01
3.660828412841284241e+00,1.278599603016499220e-01
3.670830403040304279e+00,1.274863652768473965e-01
3.680832393239323874e+00,1.271146335482466749e-01
3.690834383438343913e+00,1.267447519284191360e-01
3.700836373637363952e+00,1.263767073508899885e-01
3.710838363836383991e+00,1.260104868687756119e-01
3.720840354035403585e+00,1.256460776534396862e-01
3.730842344234423624e+00,1.252834669931666978e-01
3.740844334433443663e+00,1.249226422918535417e-01
3.750846324632463258e+00,1.245635910677180547e-01
3.760848314831483297e+00,1.242063009520250616e-01
3.770850305030503336e+00,1.238507596878287154e-01
3.780852295229522930e+00,1.234969551287322248e-01
3.790854285428542969e+00,1.231448752376628486e-01
3.800856275627563008e+00,1.227945080856639726e-01
3.810858265826582603e+00,1.224458418507023000e-01
3.820860256025602641e+00,1.220988648164910290e-01
3.830862246224622680e+00,1.217535653713282262e-01
3.840864236423642719e+00,1.214099320069502996e-01
3.850866226622662314e+00,1.210679533174005285e-01
3.860868216821682353e+00,1.207276179979119568e-01
3.870870207020702392e+00,1.203889148438052475e-01
3.880872197219721986e+00,1.200518327494001225e-01
3.890874187418742025e+00,1.197163607069413466e-01
3.900876177617762064e+00,1.193824878055383815e-01
3.910878167816781659e+00,1.190502032301185564e-01
3.920880158015801698e+00,1.187194962603935616e-01
3.930882148214821736e+00,1.183903562698395140e-01
3.940884138413841331e+00,1.180627727246897074e-01
3.950886128612861370e+00,1.177367351829401998e-01
3.960888118811881409e+00,1.174122332933683899e-01
3.970890109010901003e+00,1.170892567945634039e-01
3.980892099209921042e+00,1.167677955139693746e-01
3.990894089408941081e+00,1.164478393669405448e-01
4.000896079607960232e+00,1.161293783558082215e-01
4.010898069806980715e+00,1.158124025689593051e-01
4.020900060006000309e+00,1.154969021799271411e-01
4.030902050205019904e+00,1.151828674464927399e-01
4.040904040404040387e+00,1.148702887097978603e-01
4.050906030603059982e+00,1.145591563934692525e-01
4.060908020802079577e+00,1.142494610027532526e-01
4.070910011001100060e+00,1.139411931236616049e-01
4.080912001200119654e+00,1.136343434221278176e-01
4.090913991399139249e+00,1.133289026431738428e-01
4.100915981598159732e+00,1.130248616100869713e-01
4.110917971797179327e+00,1.127222112236072188e-01
4.120919961996198921e+00,1.124209424611243013e-01
4.130921952195219404e+00,1.121210463758848946e-01
4.140923942394238999e+00,1.118225140962091219e-01
4.150925932593258594e+00,1.115253368247172139e-01
4.160927922792279077e+00,1.112295058375650791e-01
4.170929912991298671e+00,1.109350124836895324e-01
4.180931903190319154e+00,1.106418481840624884e-01
4.190933893389338749e+00,1.103500044309545514e-01
4.200935883588358344e+00,1.100594727872070133e-01
4.210937873787378827e+00,1.097702448855130963e-01
4.220939863986398422e+00,1.094823124277078119e-01
4.230941854185418016e+00,1.091956671840660503e-01
4.240943844384438499e+00,1.089103009926095933e-01
4.250945834583458094e+00,1.086262057584220786e-01
4.260947824782477689e+00,1.083433734529722775e-01
4.270949814981498172e+00,1.080617961134456018e-01
4.280951805180517766e+00,1.077814658420834654e-01
4.290953795379537361e+00,1.075023748055302930e-01
4.300955785578557844e+00,1.072245152341889385e-01
4.310957775777577439e+00,1.069478794215830697e-01
4.320959765976597033e+00,1.066724597237274363e-01
4.330961756175617516e+00,1.063982485585055759e-01
4.340963746374637111e+00,1.061252384050548059e-01
4.350965736573656706e+00,1.058534218031585983e-01
4.360967726772677189e+00,1.055827913526456996e-01
4.370969716971696784e+00,1.053133397127969523e-01
4.380971707170716378e+00,1.050450596017583893e-01
4.390973697369736861e+00,1.047779437959617255e-01
4.400975687568756456e+00,1.045119851295513019e-01
4.410977677767776051e+00,1.042471764938178447e-01
4.420979667966796534e+00,1.039835108366386762e-01
4.430981658165816128e+00,1.037209811619246719e-01
4.440983648364835723e+00,1.034595805290733361e-01
4.450985638563856206e+00,1.031993020524283322e-01
4.460987628762875801e+00,1.029401389007454509e-01
4.470989618961896284e+00,1.026820842966642694e-01
4.480991609160915878e+00,1.024251315161863740e-01
4.490993599359935473e+00,1.021692738881592871e-01
4.500995589558955956e+00,1.019145047937663057e-01
4.510997579757975551e+00,1.016608176660224599e-01
4.520999569956995146e+00,1.014082059892757737e-01
4.531001560156015628e+00,1.011566632987146164e-01
4.541003550355035223e+00,1.009061831798805375e-01
4.551005540554054818e+00,1.006567592681864853e-01
4.561007530753075301e+00,1.004083852484405903e-01
4.571009520952094896e+00,1.001610548543755974e-01
4.581011511151114490e+00,9.991476186818303018e-02
4.591013501350134973e+00,9.966950012005318382e-02
4.601015491549154568e+00,9.942526348772007250e-02
4.611017481748174163e+00,9.918204589601124777e-02
4.621019471947194646e+00,9.893984131640320978e-02
4.631021462146214240e+00,9.869864376658131488e-02
4.641023452345233835e+00,9.845844731000474859e-02
4.651025442544254318e+00,9.821924605547650844e-02
4.661027432743273913e+00,9.798103415671792493e-02
4.671029422942293508e+00,9.774380581194817841e-02
4.681031413141313990e+00,9.750755526346817359e-02
4.691033403340333585e+00,9.727227679724938236e-02
4.701035393539353180e+00,9.703796474252690540e-02
4.711037383738373663e+00,9.680461347139715511e-02
4.721039373937393258e+00,9.657221739842022923e-02
4.731041364136413740e+00,9.634077098022600372e-02
4.741043354335433335e+00,9.611026871512545755e-02
4.751045344534452930e+00,9.588070514272535594e-02
4.761047334733473413e+00,9.565207484354779077e-02
4.771049324932493008e+00,9.542437243865356522e-02
4.781051315131512602e+00,9.519759258926988044e-02
4.791053305330533085e+00,9.497172999642174152e-02
4.801055295529552680e+00,9.474677940056798475e-02
4.811057285728572275e+00,9.452273558124041353e-02
4.821059275927592758e+00,9.429959335668765263e-02
4.831061266126612352e+00,9.407734758352238880e-02
4.841063256325631947e+00,9.385599315637245532e-02
4.851065246524652430e+00,9.363552500753589969e-02
4.861067236723672025e+00,9.341593810663956221e-02
4.871069226922691620e+00,9.319722746030127680e-02
4.881071217121712102e+00,9.297938811179594365e-02
4.891073207320731697e+00,9.276241514072505745e-02
4.901075197519751292e+00,9.254630366268953856e-02
4.911077187718771775e+00,9.233104882896643606e-02
4.921079177917791370e+00,9.211664582618886432e-02
4.931081168116810964e+00,9.190308987602938129e-02
4.941083158315831447e+00,9.169037623488653088e-02
4.951085148514851042e+00,9.147850019357529894e-02
4.961087138713870637e+00,9.126745707702006716e-02
4.971089128912891120e+00,9.105724224395132793e-02
4.981091119111910714e+00,9.084785108660556330e-02
4.991093109310931197e+00,9.063927903042795498e-02
5.001095099509950792e+00,9.043152153377864710e-02
5.011097089708970387e+00,9.022457408764177067e-02
5.021099079907990870e+00,9.001843216538675529e-02
5.031101070107010464e+00,8.981309142228716125e-02
5.041103060306030059e+00,8.960854739553336668e-02
5.051105050505050542e+00,8.940479570375738094e-02
5.061107040704070137e+00,8.920183199680592478e-02
5.071109030903089732e+00,8.899965195546721830e-02
5.081111021102110215e+00,8.879825129120083593e-02
5.091113011301129809e+00,8.859762574587012884e-02
5.101115001500149404e+00,8.839777109147750611e-02
5.111116991699169887e+00,8.819868312990243597e-02
5.121118981898189482e+00,8.800035769264225038e-02
5.131120972097209076e+00,8.780279064055536431e-02
5.141122962296229559e+00,8.760597786360740935e-02
5.151124952495249154e+00,8.740991528061982374e-02
5.161126942694268749e+00,8.721459883902099586e-02
5.171128932893289232e+00,8.702002451460008614e-02
5.181130923092308826e+00,8.682618831126313885e-02
5.191132913291328421e+00,8.663308626079199715e-02
5.201134903490348904e+00,8.644071442260525817e-02
5.211136893689368499e+00,8.624906888352215639e-02
5.221138883888388094e+00,8.605814575752834816e-02
5.231140874087408577e+00,8.586794118554434696e-02
5.241142864286428171e+00,8.567845133519630396e-02
5.251144854485447766e+00,8.548967240058902295e-02
5.261146844684468249e+00,8.530160060208112627e-02
5.271148834883487844e+00,8.511423218606292695e-02
5.281150825082508327e+00,8.492756342473596620e-02
5.291152815281527921e+00,8.474159061589517372e-02
5.301154805480547516e+00,8.455631008271302651e-02
5.311156795679567999e+00,8.437171817352592806e-02
5.321158785878587594e+00,8.418781126162272477e-02
5.331160776077607188e+00,8.400458574503523457e-02
5.341162766276627671e+00,8.382203804633094057e-02
5.351164756475647266e+00,8.364016461240783573e-02
5.361166746674666861e+00,8.345896191429111322e-02
5.371168736873687344e+00,8.327842644693185525e-02
5.381170727072706939e+00,8.309855472900813667e-02
5.391172717271726533e+00,8.291934330272737741e-02
5.401174707470747016e+00,8.274078873363130415e-02
5.411176697669766611e+00,8.256288761040243840e-02
5.421178687868786206e+00,8.238563654467269404e-02
5.431180678067806689e+00,8.220903217083369574e-02
5.441182668266826283e+00,8.203307114584898474e-02
5.451184658465845878e+00,8.185775014906832014e-02
5.461186648664866361e+00,8.168306588204327090e-02
5.471188638863885956e+00,8.150901506834516697e-02
5.481190629062905550e+00,8.133559445338443827e-02
5.491192619261926033e+00,8.116280080423185495e-02
5.501194609460945628e+00,8.099063090944151611e-02
5.511196599659965223e+00,8.081908157887550403e-02
5.521198589858985706e+00,8.064814964353025917e-02
5.531200580058005301e+00,8.047783195536463430e-02
5.541202570257025783e+00,8.030812538712957249e-02
5.551204560456045378e+00,8.013902683219953360e-02
5.561206550655064973e+00,7.997053320440533630e-02
5.571208540854085456e+00,7.980264143786880426e-02
5.581210531053105051e+00,7.963534848683898049e-02
5.591212521252124645e+00,7.946865132552974331e-02
5.601214511451145128e+00,7.930254694795911552e-02
5.611216501650164723e+00,7.913703236779016936e-02
5.621218491849184318e+00,7.897210461817319449e-02
5.631220482048204801e+00,7.880776075158966998e-02
5.641222472247224395e+00,7.864399783969752700e-02
5.651224462446243990e+00,7.848081297317785476e-02
5.661226452645264473e+00,7.831820326158320245e-02
5.671228442844284068e+00,7.815616583318737987e-02
5.681230433043303663e+00,7.799469783483625740e-02
5.691232423242324145e+00,7.783379643180043939e-02
5.701234413441343740e+00,7.767345880762913102e-02
5.711236403640363335e+00,7.751368216400539302e-02
5.721238393839383818e+00,7.735446372060267306e-02
5.731240384038403413e+00,7.719580071494291929e-02
5.741242374237423007e+00,7.703769040225566522e-02
5.751244364436443490e+00,7.688013005533878008e-02
5.761246354635463085e+00,7.672311696442035700e-02
5.771248344834482680e+00,7.656664843702183643e-02
5.781250335033503163e+00,7.641072179782248952e-02
5.791252325232522757e+00,7.625533438852526158e-02
5.801254315431543240e+00,7.610048356772351752e-02
5.811256305630562835e+00,7.594616671076938330e-02
